workspaceId,projectId,name,serialNumber,partNumber,partNumberType,hardwareRevision,softwareRelease,site,status,condition,installationDate,warrantyEndDate,eolDate,lastServiceDate,criticality,compatibilityRisk,source
69a7306b003817d3af5f,69a7071f0022224130e9,Base Device 014,SN-BASE-000014,ABCD1214-514,WLN,HW-7.4,SW-6.2.14,Bern SBB,INSTALLED,POOR,2012-09-23,2018-09-22,2027-09-20,2013-10-07,MEDIUM,MEDIUM,WAREHOUSE
69a7306b003817d3af5f,69a7071f0022224130e9,Base Device 015,SN-BASE-000015,6XX6215-0AB25,STAMMHAUS,HW-8.5,SW-7.3.15,SBB,INSTALLED,GOOD,2012-10-12,2018-10-11,2027-10-09,2013-10-27,HIGH,HIGH,OCR_SCAN
69a7306b003817d3af5f,69a7071f0022224130e9,Base Device 016,SN-BASE-000016,A2V0002384016,A2V,HW-1.6,SW-8.4.16,SBB Luzern,INSTALLED,GOOD,2012-10-31,2018-10-30,2027-10-28,2013-11-16,CRITICAL,LOW,MANUAL
69a7306b003817d3af5f,69a7071f0022224130e9,Base Device 017,SN-BASE-000017,A6Z0002332017,A6Z,HW-2.7,SW-9.5.17,SBB Basel,INSTALLED,GOOD,2012-11-19,2018-11-18,2027-11-16,2013-12-06,LOW,MEDIUM,CSV_IMPORT
69a7306b003817d3af5f,69a7071f0022224130e9,Base Device 018,SN-BASE-000018,A5N0003307018,AN,HW-3.8,SW-1.6.18,SBB Lausanne,IN_STOCK,FAIR,2012-12-08,2018-12-07,2027-12-05,2013-12-26,MEDIUM,HIGH,REPAIR_INTAKE
69a7306b003817d3af5f,69a7071f0022224130e9,Base Device 019,SN-BASE-000019,ABCD1219-519,WLN,HW-4.9,SW-2.7.19,OBB,IN_STOCK,GOOD,2012-12-27,2018-12-26,2027-12-24,2014-01-15,HIGH,LOW,WAREHOUSE
69a7306b003817d3af5f,69a7071f0022224130e9,Base Device 020,SN-BASE-000020,6XX6220-0AB30,STAMMHAUS,HW-5.0,SW-3.8.20,Bern SBB,IN_REPAIR,FAIR,2013-01-15,2019-01-14,2028-01-12,2014-02-04,CRITICAL,MEDIUM,OCR_SCAN
69a7306b003817d3af5f,69a7071f0022224130e9,Base Device 021,SN-BASE-000021,A2V0002384021,A2V,HW-6.1,SW-4.9.21,SBB,RESERVED,POOR,2013-02-03,2019-02-02,2028-01-31,2014-02-24,LOW,HIGH,MANUAL
69a7306b003817d3af5f,69a7071f0022224130e9,Base Device 022,SN-BASE-000022,A6Z0002332022,A6Z,HW-7.2,SW-5.10.22,SBB Luzern,RETIRED,GOOD,2013-02-22,2019-02-21,2028-02-19,2014-03-16,MEDIUM,LOW,CSV_IMPORT
69a7306b003817d3af5f,69a7071f0022224130e9,Base Device 023,SN-BASE-000023,A5N0003307023,AN,HW-8.3,SW-6.11.23,SBB Basel,INSTALLED,GOOD,2013-03-13,2019-03-12,2028-03-09,2014-04-05,HIGH,MEDIUM,REPAIR_INTAKE
69a7306b003817d3af5f,69a7071f0022224130e9,Base Device 024,SN-BASE-000024,ABCD1224-524,WLN,HW-1.4,SW-7.0.24,SBB Lausanne,INSTALLED,GOOD,2013-04-01,2019-03-31,2028-03-28,2014-04-25,CRITICAL,HIGH,WAREHOUSE
69a7306b003817d3af5f,69a7071f0022224130e9,Base Device 025,SN-BASE-000025,6XX6225-0AB35,STAMMHAUS,HW-2.5,SW-8.1.25,OBB,INSTALLED,FAIR,2013-04-20,2019-04-19,2028-04-16,2014-05-15,LOW,LOW,OCR_SCAN
69a7306b003817d3af5f,69a7071f0022224130e9,Base Device 026,SN-BASE-000026,A2V0002384026,A2V,HW-3.6,SW-9.2.26,Bern SBB,INSTALLED,GOOD,2013-05-09,2019-05-08,2028-05-05,2014-06-04,MEDIUM,MEDIUM,MANUAL
69a7306b003817d3af5f,69a7071f0022224130e9,Base Device 027,SN-BASE-000027,A6Z0002332027,A6Z,HW-4.7,SW-1.3.27,SBB,INSTALLED,FAIR,2013-05-28,2019-05-27,2028-05-24,2014-06-24,HIGH,HIGH,CSV_IMPORT
69a7306b003817d3af5f,69a7071f0022224130e9,Base Device 028,SN-BASE-000028,A5N0003307028,AN,HW-5.8,SW-2.4.28,SBB Luzern,INSTALLED,POOR,2013-06-16,2019-06-15,2028-06-12,2014-07-14,CRITICAL,LOW,REPAIR_INTAKE
69a7306b003817d3af5f,69a7071f0022224130e9,Base Device 029,SN-BASE-000029,ABCD1229-529,WLN,HW-6.9,SW-3.5.29,SBB Basel,IN_STOCK,GOOD,2013-07-05,2019-07-04,2028-07-01,2014-08-03,LOW,MEDIUM,WAREHOUSE
69a7306b003817d3af5f,69a7071f0022224130e9,Base Device 030,SN-BASE-000030,6XX6230-0AB40,STAMMHAUS,HW-7.0,SW-4.6.0,SBB Lausanne,IN_STOCK,GOOD,2013-07-24,2019-07-23,2028-07-20,2014-08-23,MEDIUM,HIGH,OCR_SCAN
69a7306b003817d3af5f,69a7071f0022224130e9,Base Device 031,SN-BASE-000031,A2V0002384031,A2V,HW-8.1,SW-5.7.1,OBB,IN_REPAIR,GOOD,2013-08-12,2019-08-11,2028-08-08,2014-09-12,HIGH,LOW,MANUAL
69a7306b003817d3af5f,69a7071f0022224130e9,Base Device 032,SN-BASE-000032,A6Z0002332032,A6Z,HW-1.2,SW-6.8.2,Bern SBB,RESERVED,FAIR,2013-08-31,2019-08-30,2028-08-27,2014-10-02,CRITICAL,MEDIUM,CSV_IMPORT
69a7306b003817d3af5f,69a7071f0022224130e9,Base Device 033,SN-BASE-000033,A5N0003307033,AN,HW-2.3,SW-7.9.3,SBB,RETIRED,GOOD,2013-09-19,2019-09-18,2028-09-15,2014-10-22,LOW,HIGH,REPAIR_INTAKE
69a7306b003817d3af5f,69a7071f0022224130e9,Base Device 034,SN-BASE-000034,ABCD1234-534,WLN,HW-3.4,SW-8.10.4,SBB Luzern,INSTALLED,FAIR,2013-10-08,2019-10-07,2028-10-04,2014-11-11,MEDIUM,LOW,WAREHOUSE
69a7306b003817d3af5f,69a7071f0022224130e9,Base Device 035,SN-BASE-000035,6XX6235-0AB45,STAMMHAUS,HW-4.5,SW-9.11.5,SBB Basel,INSTALLED,POOR,2013-10-27,2019-10-26,2028-10-23,2014-12-01,HIGH,MEDIUM,OCR_SCAN
69a7306b003817d3af5f,69a7071f0022224130e9,Base Device 036,SN-BASE-000036,A2V0002384036,A2V,HW-5.6,SW-1.0.6,SBB Lausanne,INSTALLED,GOOD,2013-11-15,2019-11-14,2028-11-11,2014-12-21,CRITICAL,HIGH,MANUAL
69a7306b003817d3af5f,69a7071f0022224130e9,Base Device 037,SN-BASE-000037,A6Z0002332037,A6Z,HW-6.7,SW-2.1.7,OBB,INSTALLED,GOOD,2013-12-04,2019-12-03,2028-11-30,2015-01-10,LOW,LOW,CSV_IMPORT
69a7306b003817d3af5f,69a7071f0022224130e9,Base Device 038,SN-BASE-000038,A5N0003307038,AN,HW-7.8,SW-3.2.8,Bern SBB,INSTALLED,GOOD,2013-12-23,2019-12-22,2028-12-19,2015-01-30,MEDIUM,MEDIUM,REPAIR_INTAKE
69a7306b003817d3af5f,69a7071f0022224130e9,Base Device 039,SN-BASE-000039,ABCD1239-539,WLN,HW-8.9,SW-4.3.9,SBB,INSTALLED,FAIR,2014-01-11,2020-01-10,2029-01-07,2015-02-19,HIGH,HIGH,WAREHOUSE
69a7306b003817d3af5f,69a7071f0022224130e9,Base Device 040,SN-BASE-000040,6XX6240-0AB50,STAMMHAUS,HW-1.0,SW-5.4.10,SBB Luzern,IN_STOCK,GOOD,2014-01-30,2020-01-29,2029-01-26,2015-03-11,CRITICAL,LOW,OCR_SCAN
69a7306b003817d3af5f,69a7071f0022224130e9,Base Device 041,SN-BASE-000041,A2V0002384041,A2V,HW-2.1,SW-6.5.11,SBB Basel,IN_STOCK,FAIR,2014-02-18,2020-02-17,2029-02-14,2015-03-31,LOW,MEDIUM,MANUAL
69a7306b003817d3af5f,69a7071f0022224130e9,Base Device 042,SN-BASE-000042,A6Z0002332042,A6Z,HW-3.2,SW-7.6.12,SBB Lausanne,IN_REPAIR,POOR,2014-03-09,2020-03-07,2029-03-05,2015-04-20,MEDIUM,HIGH,CSV_IMPORT
69a7306b003817d3af5f,69a7071f0022224130e9,Base Device 043,SN-BASE-000043,A5N0003307043,AN,HW-4.3,SW-8.7.13,OBB,RESERVED,GOOD,2014-03-28,2020-03-26,2029-03-24,2015-05-10,HIGH,LOW,REPAIR_INTAKE
69a7306b003817d3af5f,69a7071f0022224130e9,Base Device 044,SN-BASE-000044,ABCD1244-544,WLN,HW-5.4,SW-9.8.14,Bern SBB,RETIRED,GOOD,2014-04-16,2020-04-14,2029-04-12,2015-05-30,CRITICAL,MEDIUM,WAREHOUSE
69a7306b003817d3af5f,69a7071f0022224130e9,Base Device 045,SN-BASE-000045,6XX6245-0AB55,STAMMHAUS,HW-6.5,SW-1.9.15,SBB,INSTALLED,GOOD,2014-05-05,2020-05-03,2029-05-01,2015-06-19,LOW,HIGH,OCR_SCAN
69a7306b003817d3af5f,69a7071f0022224130e9,Base Device 046,SN-BASE-000046,A2V0002384046,A2V,HW-7.6,SW-2.10.16,SBB Luzern,INSTALLED,FAIR,2014-05-24,2020-05-22,2029-05-20,2015-07-09,MEDIUM,LOW,MANUAL
69a7306b003817d3af5f,69a7071f0022224130e9,Base Device 047,SN-BASE-000047,A6Z0002332047,A6Z,HW-8.7,SW-3.11.17,SBB Basel,INSTALLED,GOOD,2014-06-12,2020-06-10,2029-06-08,2015-07-29,HIGH,MEDIUM,CSV_IMPORT
69a7306b003817d3af5f,69a7071f0022224130e9,Base Device 048,SN-BASE-000048,A5N0003307048,AN,HW-1.8,SW-4.0.18,SBB Lausanne,INSTALLED,FAIR,2014-07-01,2020-06-29,2029-06-27,2015-08-18,CRITICAL,HIGH,REPAIR_INTAKE
69a7306b003817d3af5f,69a7071f0022224130e9,Base Device 049,SN-BASE-000049,ABCD1249-549,WLN,HW-2.9,SW-5.1.19,OBB,INSTALLED,POOR,2014-07-20,2020-07-18,2029-07-16,2015-09-07,LOW,LOW,WAREHOUSE
69a7306b003817d3af5f,69a7071f0022224130e9,Base Device 050,SN-BASE-000050,6XX6200-0AB60,STAMMHAUS,HW-3.0,SW-6.2.20,Bern SBB,INSTALLED,GOOD,2014-08-08,2020-08-06,2029-08-04,2015-09-27,MEDIUM,MEDIUM,OCR_SCAN
69a7306b003817d3af5f,69a7071f0022224130e9,Base Device 051,SN-BASE-000051,A2V0002384051,A2V,HW-4.1,SW-7.3.21,SBB,IN_STOCK,GOOD,2014-08-27,2020-08-25,2029-08-23,2015-10-17,HIGH,HIGH,MANUAL
69a7306b003817d3af5f,69a7071f0022224130e9,Base Device 052,SN-BASE-000052,A6Z0002332052,A6Z,HW-5.2,SW-8.4.22,SBB Luzern,IN_STOCK,GOOD,2014-09-15,2020-09-13,2029-09-11,2015-11-06,CRITICAL,LOW,CSV_IMPORT
69a7306b003817d3af5f,69a7071f0022224130e9,Base Device 053,SN-BASE-000053,A5N0003307053,AN,HW-6.3,SW-9.5.23,SBB Basel,IN_REPAIR,FAIR,2014-10-04,2020-10-02,2029-09-30,2015-11-26,LOW,MEDIUM,REPAIR_INTAKE
69a7306b003817d3af5f,69a7071f0022224130e9,Base Device 054,SN-BASE-000054,ABCD1254-554,WLN,HW-7.4,SW-1.6.24,SBB Lausanne,RESERVED,GOOD,2014-10-23,2020-10-21,2029-10-19,2015-12-16,MEDIUM,HIGH,WAREHOUSE
69a7306b003817d3af5f,69a7071f0022224130e9,Base Device 055,SN-BASE-000055,6XX6205-0AB65,STAMMHAUS,HW-8.5,SW-2.7.25,OBB,RETIRED,FAIR,2014-11-11,2020-11-09,2029-11-07,2016-01-05,HIGH,LOW,OCR_SCAN
69a7306b003817d3af5f,69a7071f0022224130e9,Base Device 056,SN-BASE-000056,A2V0002384056,A2V,HW-1.6,SW-3.8.26,Bern SBB,INSTALLED,POOR,2014-11-30,2020-11-28,2029-11-26,2016-01-25,CRITICAL,MEDIUM,MANUAL
69a7306b003817d3af5f,69a7071f0022224130e9,Base Device 057,SN-BASE-000057,A6Z0002332057,A6Z,HW-2.7,SW-4.9.27,SBB,INSTALLED,GOOD,2014-12-19,2020-12-17,2029-12-15,2016-02-14,LOW,HIGH,CSV_IMPORT
69a7306b003817d3af5f,69a7071f0022224130e9,Base Device 058,SN-BASE-000058,A5N0003307058,AN,HW-3.8,SW-5.10.28,SBB Luzern,INSTALLED,GOOD,2015-01-07,2021-01-05,2030-01-03,2016-03-05,MEDIUM,LOW,REPAIR_INTAKE
69a7306b003817d3af5f,69a7071f0022224130e9,Base Device 059,SN-BASE-000059,ABCD1259-559,WLN,HW-4.9,SW-6.11.29,SBB Basel,INSTALLED,GOOD,2015-01-26,2021-01-24,2030-01-22,2016-03-25,HIGH,MEDIUM,WAREHOUSE
69a7306b003817d3af5f,69a7071f0022224130e9,Base Device 060,SN-BASE-000060,6XX6210-0AB70,STAMMHAUS,HW-5.0,SW-7.0.0,SBB Lausanne,INSTALLED,FAIR,2015-02-14,2021-02-12,2030-02-10,2016-04-14,CRITICAL,HIGH,OCR_SCAN
69a7306b003817d3af5f,69a7071f0022224130e9,Base Device 061,SN-BASE-000061,A2V0002384061,A2V,HW-6.1,SW-8.1.1,OBB,INSTALLED,GOOD,2015-03-05,2021-03-03,2030-03-01,2016-05-04,LOW,LOW,MANUAL
69a7306b003817d3af5f,69a7071f0022224130e9,Base Device 062,SN-BASE-000062,A6Z0002332062,A6Z,HW-7.2,SW-9.2.2,Bern SBB,IN_STOCK,FAIR,2015-03-24,2021-03-22,2030-03-20,2016-05-24,MEDIUM,MEDIUM,CSV_IMPORT
69a7306b003817d3af5f,69a7071f0022224130e9,Base Device 063,SN-BASE-000063,A5N0003307063,AN,HW-8.3,SW-1.3.3,SBB,IN_STOCK,POOR,2015-04-12,2021-04-10,2030-04-08,2016-06-13,HIGH,HIGH,REPAIR_INTAKE
69a7306b003817d3af5f,69a7071f0022224130e9,Base Device 064,SN-BASE-000064,ABCD1264-564,WLN,HW-1.4,SW-2.4.4,SBB Luzern,IN_REPAIR,GOOD,2015-05-01,2021-04-29,2030-04-27,2016-07-03,CRITICAL,LOW,WAREHOUSE
69a7306b003817d3af5f,69a7071f0022224130e9,Base Device 065,SN-BASE-000065,6XX6215-0AB75,STAMMHAUS,HW-2.5,SW-3.5.5,SBB Basel,RESERVED,GOOD,2015-05-20,2021-05-18,2030-05-16,2016-07-23,LOW,MEDIUM,OCR_SCAN
69a7306b003817d3af5f,69a7071f0022224130e9,Base Device 066,SN-BASE-000066,A2V0002384066,A2V,HW-3.6,SW-4.6.6,SBB Lausanne,RETIRED,GOOD,2015-06-08,2021-06-06,2030-06-04,2016-08-12,MEDIUM,HIGH,MANUAL
69a7306b003817d3af5f,69a7071f0022224130e9,Base Device 067,SN-BASE-000067,A6Z0002332067,A6Z,HW-4.7,SW-5.7.7,OBB,INSTALLED,FAIR,2015-06-27,2021-06-25,2030-06-23,2016-09-01,HIGH,LOW,CSV_IMPORT
69a7306b003817d3af5f,69a7071f0022224130e9,Base Device 068,SN-BASE-000068,A5N0003307068,AN,HW-5.8,SW-6.8.8,Bern SBB,INSTALLED,GOOD,2015-07-16,2021-07-14,2030-07-12,2016-09-21,CRITICAL,MEDIUM,REPAIR_INTAKE
69a7306b003817d3af5f,69a7071f0022224130e9,Base Device 069,SN-BASE-000069,ABCD1269-569,WLN,HW-6.9,SW-7.9.9,SBB,INSTALLED,FAIR,2015-08-04,2021-08-02,2030-07-31,2016-10-11,LOW,HIGH,WAREHOUSE
69a7306b003817d3af5f,69a7071f0022224130e9,Base Device 070,SN-BASE-000070,6XX6220-0AB80,STAMMHAUS,HW-7.0,SW-8.10.10,SBB Luzern,INSTALLED,POOR,2015-08-23,2021-08-21,2030-08-19,2016-10-31,MEDIUM,LOW,OCR_SCAN
69a7306b003817d3af5f,69a7071f0022224130e9,Base Device 071,SN-BASE-000071,A2V0002384071,A2V,HW-8.1,SW-9.11.11,SBB Basel,INSTALLED,GOOD,2015-09-11,2021-09-09,2030-09-07,2016-11-20,HIGH,MEDIUM,MANUAL
69a7306b003817d3af5f,69a7071f0022224130e9,Base Device 072,SN-BASE-000072,A6Z0002332072,A6Z,HW-1.2,SW-1.0.12,SBB Lausanne,INSTALLED,GOOD,2015-09-30,2021-09-28,2030-09-26,2016-12-10,CRITICAL,HIGH,CSV_IMPORT
69a7306b003817d3af5f,69a7071f0022224130e9,Base Device 073,SN-BASE-000073,A5N0003307073,AN,HW-2.3,SW-2.1.13,OBB,IN_STOCK,GOOD,2015-10-19,2021-10-17,2030-10-15,2016-12-30,LOW,LOW,REPAIR_INTAKE
69a7306b003817d3af5f,69a7071f0022224130e9,Base Device 074,SN-BASE-000074,ABCD1274-574,WLN,HW-3.4,SW-3.2.14,Bern SBB,IN_STOCK,FAIR,2015-11-07,2021-11-05,2030-11-03,2017-01-19,MEDIUM,MEDIUM,WAREHOUSE
69a7306b003817d3af5f,69a7071f0022224130e9,Base Device 075,SN-BASE-000075,6XX6225-0AB85,STAMMHAUS,HW-4.5,SW-4.3.15,SBB,IN_REPAIR,GOOD,2015-11-26,2021-11-24,2030-11-22,2017-02-08,HIGH,HIGH,OCR_SCAN
69a7306b003817d3af5f,69a7071f0022224130e9,Base Device 076,SN-BASE-000076,A2V0002384076,A2V,HW-5.6,SW-5.4.16,SBB Luzern,RESERVED,FAIR,2015-12-15,2021-12-13,2030-12-11,2017-02-28,CRITICAL,LOW,MANUAL
69a7306b003817d3af5f,69a7071f0022224130e9,Base Device 077,SN-BASE-000077,A6Z0002332077,A6Z,HW-6.7,SW-6.5.17,SBB Basel,RETIRED,POOR,2016-01-03,2022-01-01,2030-12-30,2017-03-20,LOW,MEDIUM,CSV_IMPORT
69a7306b003817d3af5f,69a7071f0022224130e9,Base Device 078,SN-BASE-000078,A5N0003307078,AN,HW-7.8,SW-7.6.18,SBB Lausanne,INSTALLED,GOOD,2016-01-22,2022-01-20,2031-01-18,2017-04-09,MEDIUM,HIGH,REPAIR_INTAKE
69a7306b003817d3af5f,69a7071f0022224130e9,Base Device 079,SN-BASE-000079,ABCD1279-579,WLN,HW-8.9,SW-8.7.19,OBB,INSTALLED,GOOD,2016-02-10,2022-02-08,2031-02-06,2017-04-29,HIGH,LOW,WAREHOUSE
69a7306b003817d3af5f,69a7071f0022224130e9,Base Device 080,SN-BASE-000080,6XX6230-0AB10,STAMMHAUS,HW-1.0,SW-9.8.20,Bern SBB,INSTALLED,GOOD,2016-02-29,2022-02-27,2031-02-25,2017-05-19,CRITICAL,MEDIUM,OCR_SCAN
69a7306b003817d3af5f,69a7071f0022224130e9,Base Device 081,SN-BASE-000081,A2V0002384081,A2V,HW-2.1,SW-1.9.21,SBB,INSTALLED,FAIR,2016-03-19,2022-03-18,2031-03-16,2017-06-08,LOW,HIGH,MANUAL
69a7306b003817d3af5f,69a7071f0022224130e9,Base Device 082,SN-BASE-000082,A6Z0002332082,A6Z,HW-3.2,SW-2.10.22,SBB Luzern,INSTALLED,GOOD,2016-04-07,2022-04-06,2031-04-04,2017-06-28,MEDIUM,LOW,CSV_IMPORT
69a7306b003817d3af5f,69a7071f0022224130e9,Base Device 083,SN-BASE-000083,A5N0003307083,AN,HW-4.3,SW-3.11.23,SBB Basel,INSTALLED,FAIR,2016-04-26,2022-04-25,2031-04-23,2017-07-18,HIGH,MEDIUM,REPAIR_INTAKE
69a7306b003817d3af5f,69a7071f0022224130e9,Base Device 084,SN-BASE-000084,ABCD1284-584,WLN,HW-5.4,SW-4.0.24,SBB Lausanne,IN_STOCK,POOR,2016-05-15,2022-05-14,2031-05-12,2017-08-07,CRITICAL,HIGH,WAREHOUSE
69a7306b003817d3af5f,69a7071f0022224130e9,Base Device 085,SN-BASE-000085,6XX6235-0AB15,STAMMHAUS,HW-6.5,SW-5.1.25,OBB,IN_STOCK,GOOD,2016-06-03,2022-06-02,2031-05-31,2017-08-27,LOW,LOW,OCR_SCAN
69a7306b003817d3af5f,69a7071f0022224130e9,Base Device 086,SN-BASE-000086,A2V0002384086,A2V,HW-7.6,SW-6.2.26,Bern SBB,IN_REPAIR,GOOD,2016-06-22,2022-06-21,2031-06-19,2017-09-16,MEDIUM,MEDIUM,MANUAL
69a7306b003817d3af5f,69a7071f0022224130e9,Base Device 087,SN-BASE-000087,A6Z0002332087,A6Z,HW-8.7,SW-7.3.27,SBB,RESERVED,GOOD,2016-07-11,2022-07-10,2031-07-08,2017-10-06,HIGH,HIGH,CSV_IMPORT
69a7306b003817d3af5f,69a7071f0022224130e9,Base Device 088,SN-BASE-000088,A5N0003307088,AN,HW-1.8,SW-8.4.28,SBB Luzern,RETIRED,FAIR,2016-07-30,2022-07-29,2031-07-27,2017-10-26,CRITICAL,LOW,REPAIR_INTAKE
69a7306b003817d3af5f,69a7071f0022224130e9,Base Device 089,SN-BASE-000089,ABCD1289-589,WLN,HW-2.9,SW-9.5.29,SBB Basel,INSTALLED,GOOD,2016-08-18,2022-08-17,2031-08-15,2017-11-15,LOW,MEDIUM,WAREHOUSE
69a7306b003817d3af5f,69a7071f0022224130e9,Base Device 090,SN-BASE-000090,6XX6240-0AB20,STAMMHAUS,HW-3.0,SW-1.6.0,SBB Lausanne,INSTALLED,FAIR,2016-09-06,2022-09-05,2031-09-03,2017-12-05,MEDIUM,HIGH,OCR_SCAN
69a7306b003817d3af5f,69a7071f0022224130e9,Base Device 091,SN-BASE-000091,A2V0002384091,A2V,HW-4.1,SW-2.7.1,OBB,INSTALLED,POOR,2016-09-25,2022-09-24,2031-09-22,2017-12-25,HIGH,LOW,MANUAL
69a7306b003817d3af5f,69a7071f0022224130e9,Base Device 092,SN-BASE-000092,A6Z0002332092,A6Z,HW-5.2,SW-3.8.2,Bern SBB,INSTALLED,GOOD,2016-10-14,2022-10-13,2031-10-11,2018-01-14,CRITICAL,MEDIUM,CSV_IMPORT
69a7306b003817d3af5f,69a7071f0022224130e9,Base Device 093,SN-BASE-000093,A5N0003307093,AN,HW-6.3,SW-4.9.3,SBB,INSTALLED,GOOD,2016-11-02,2022-11-01,2031-10-30,2018-02-03,LOW,HIGH,REPAIR_INTAKE
69a7306b003817d3af5f,69a7071f0022224130e9,Base Device 094,SN-BASE-000094,ABCD1294-594,WLN,HW-7.4,SW-5.10.4,SBB Luzern,INSTALLED,GOOD,2016-11-21,2022-11-20,2031-11-18,2018-02-23,MEDIUM,LOW,WAREHOUSE
69a7306b003817d3af5f,69a7071f0022224130e9,Base Device 095,SN-BASE-000095,6XX6245-0AB25,STAMMHAUS,HW-8.5,SW-6.11.5,SBB Basel,IN_STOCK,FAIR,2016-12-10,2022-12-09,2031-12-07,2018-03-15,HIGH,MEDIUM,OCR_SCAN
69a7306b003817d3af5f,69a7071f0022224130e9,Base Device 096,SN-BASE-000096,A2V0002384096,A2V,HW-1.6,SW-7.0.6,SBB Lausanne,IN_STOCK,GOOD,2016-12-29,2022-12-28,2031-12-26,2018-04-04,CRITICAL,HIGH,MANUAL
69a7306b003817d3af5f,69a7071f0022224130e9,Base Device 097,SN-BASE-000097,A6Z0002332097,A6Z,HW-2.7,SW-8.1.7,OBB,IN_REPAIR,FAIR,2017-01-17,2023-01-16,2032-01-14,2018-04-24,LOW,LOW,CSV_IMPORT
69a7306b003817d3af5f,69a7071f0022224130e9,Base Device 098,SN-BASE-000098,A5N0003307098,AN,HW-3.8,SW-9.2.8,Bern SBB,RESERVED,POOR,2017-02-05,2023-02-04,2032-02-02,2018-05-14,MEDIUM,MEDIUM,REPAIR_INTAKE
69a7306b003817d3af5f,69a7071f0022224130e9,Base Device 099,SN-BASE-000099,ABCD1299-599,WLN,HW-4.9,SW-1.3.9,SBB,RETIRED,GOOD,2017-02-24,2023-02-23,2032-02-21,2018-06-03,HIGH,HIGH,WAREHOUSE
